manufacturer,spec,usecase,speed,ramtiming,model,xmp,color,rgb,image_url
TEAMGROUP,DDR5,데스크탑용,5600,CL46,T-CREATE CLASSIC 서린,False,,False,https://img.danawa.com/prod_img/500000/122/566/img/19566122_1.jpg?shrink=130:130&_v=20230413183049
SK하이닉스,DDR5,데스크탑용,5600,,,False,,False,https://img.danawa.com/prod_img/500000/523/883/img/18883523_1.jpg?shrink=130:130&_v=20230417160117
G.SKILL,DDR5,데스크탑용,6400,CL32,TRIDENT Z5,True,WHITE,True,https://img.danawa.com/prod_img/500000/455/639/img/21639455_1.jpg?shrink=130:130&_v=20231114151232
ESSENCORE,DDR5,데스크탑용,5600,CL46,KLEVV,False,,False,https://img.danawa.com/prod_img/500000/774/965/img/18965774_1.jpg?shrink=130:130&_v=20230208132437
TEAMGROUP,DDR5,데스크탑용,6000,CL30,T-CREATE EXPERT 서린,True,WHITE,False,https://img.danawa.com/prod_img/500000/684/546/img/20546684_1.jpg?shrink=130:130&_v=20230614173001
ESSENCORE,DDR4,데스크탑용,3600,CL18,KLEVV BOLT XR 서린,True,,False,https://img.danawa.com/prod_img/500000/484/895/img/27895484_1.jpg?shrink=130:130&_v=20230830162611
삼성전자,DDR3,데스크탑용,1600,,,False,,False,https://img.danawa.com/prod_img/500000/101/549/img/5549101_1.jpg?shrink=130:130&_v=20210409101246
OLOY,DDR5,데스크탑용,6000,CL32,BLADE MIRROR 올로이앤코,False,,True,https://img.danawa.com/prod_img/500000/829/770/img/17770829_1.jpg?shrink=130:130&_v=20240308093808
G.SKILL,DDR5,데스크탑용,6000,CL32,TRIDENT Z5 NEO J,False,,True,https://img.danawa.com/prod_img/500000/958/610/img/18610958_1.jpg?shrink=130:130&_v=20221228112017
삼성전자,DDR4,데스크탑용,2666,,,False,,False,https://img.danawa.com/prod_img/500000/995/941/img/5941995_1.jpg?shrink=130:130&_v=20230306173546
마이크론,DDR4,데스크탑용,3200,CL22,CRUCIAL 대원씨티에스,False,,False,https://img.danawa.com/prod_img/500000/102/369/img/20369102_1.jpg?shrink=130:130&_v=20230531161018
TEAMGROUP,DDR5,데스크탑용,6000,CL38,T-FORCE DELTA 서린,True,WHITE,True,https://img.danawa.com/prod_img/500000/341/443/img/16443341_1.jpg?shrink=130:130&_v=20231030131033
G.SKILL,DDR4,데스크탑용,3600,CL18,TRIDENT Z,True,,True,https://img.danawa.com/prod_img/500000/083/431/img/11431083_1.jpg?shrink=130:130&_v=20200821131607
삼성전자,DDR5,데스크탑용,4800,,,False,,False,https://img.danawa.com/prod_img/500000/071/759/img/15759071_1.jpg?shrink=130:130&_v=20220719161854
ESSENCORE,DDR5,데스크탑용,6000,CL30,KLEVV BOLT V 서린,True,,False,https://img.danawa.com/prod_img/500000/470/894/img/27894470_1.jpg?shrink=130:130&_v=20230830155137
TEAMGROUP,DDR4,데스크탑용,3600,CL18,T-FORCE DELTA 서린,True,WHITE,True,https://img.danawa.com/prod_img/500000/467/380/img/11380467_1.jpg?shrink=130:130&_v=20221220153346
TEAMGROUP,DDR5,데스크탑용,4800,CL40,ELITE 서린,False,,False,https://img.danawa.com/prod_img/500000/233/535/img/17535233_1.jpg?shrink=130:130&_v=20220726132033
GEIL,DDR5,데스크탑용,5600,CL46,PRISTINE V,True,,False,https://img.danawa.com/prod_img/500000/174/695/img/21695174_1.jpg?shrink=130:130&_v=20240220145301
GEIL,DDR5,데스크탑용,6000,CL38,POLARIS,True,WHITE,True,https://img.danawa.com/prod_img/500000/911/539/img/19539911_1.jpg?shrink=130:130&_v=20230328170858
G.SKILL,DDR5,데스크탑용,6000,CL30,TRIDENT Z5 NEO J,False,WHITE,True,https://img.danawa.com/prod_img/500000/721/579/img/40579721_1.jpg?shrink=130:130&_v=20240311154105
ESSENCORE,DDR4,데스크탑용,3200,CL16,KLEVV BOLT X 서린,True,,False,https://img.danawa.com/prod_img/500000/158/867/img/27867158_1.jpg?shrink=130:130&_v=20230829163417
마이크론,DDR5,데스크탑용,5600,CL46,CRUCIAL PRO 대원씨티에스,True,,False,https://img.danawa.com/prod_img/500000/519/640/img/28640519_1.jpg?shrink=130:130&_v=20240124113336
ADATA,DDR4,데스크탑용,3600,CL18,XPG SPECTRIX D35G,True,WHITE,True,https://img.danawa.com/prod_img/500000/203/754/img/20754203_1.jpg?shrink=130:130&_v=20240403165835
GEIL,DDR5,데스크탑용,6000,CL38,POLARIS GRAY,True,,True,https://img.danawa.com/prod_img/500000/860/539/img/19539860_1.jpg?shrink=130:130&_v=20230328170626
G.SKILL,DDR5,데스크탑용,5200,CL40,FLARE X5 J,False,,False,https://img.danawa.com/prod_img/500000/995/102/img/54102995_1.jpg?shrink=130:130&_v=20240521130623
G.SKILL,DDR5,데스크탑용,6000,CL36,TRIDENT Z5 J,True,,True,https://img.danawa.com/prod_img/500000/474/193/img/16193474_1.jpg?shrink=130:130&_v=20231205134658
G.SKILL,DDR5,데스크탑용,6400,CL32,TRIDENT Z5 J,True,,True,https://img.danawa.com/prod_img/500000/602/036/img/18036602_1.jpg?shrink=130:130&_v=20230111103648
TEAMGROUP,DDR4,데스크탑용,3600,CL18,T-CREATE EXPERT OC10L 서린,False,,False,https://img.danawa.com/prod_img/500000/142/981/img/13981142_1.jpg?shrink=130:130&_v=20210422161349
마이크론,DDR4,데스크탑용,3200,CL22,CRUCIAL,False,,False,https://img.danawa.com/prod_img/500000/092/294/img/10294092_1.jpg?shrink=130:130&_v=20240214101633
G.SKILL,DDR4,데스크탑용,3600,CL16,TRIDENT Z NEO C,True,,False,https://img.danawa.com/prod_img/500000/405/480/img/9480405_1.jpg?shrink=130:130&_v=20201228142001
G.SKILL,DDR4,데스크탑용,3200,CL14,RIPJAWS V VK,True,,False,https://img.danawa.com/prod_img/500000/514/419/img/6419514_1.jpg?shrink=130:130&_v=20200821132110
TEAMGROUP,DDR5,데스크탑용,5600,CL36,T-FORCE DELTA 서린,True,WHITE,True,https://img.danawa.com/prod_img/500000/924/134/img/18134924_1.jpg?shrink=130:130&_v=20221214075624
G.SKILL,DDR4,데스크탑용,4000,CL18,TRIDENT Z ROYAL,True,SILVER,False,https://img.danawa.com/prod_img/500000/468/794/img/15794468_1.jpg?shrink=130:130&_v=20211126151704
ESSENCORE,DDR5,데스크탑용,8000,CL38,KLEVV CRAS V 서린,True,,True,https://img.danawa.com/prod_img/500000/973/886/img/27886973_1.jpg?shrink=130:130&_v=20231201164958
PNY,DDR5,데스크탑용,6400,CL32,XLR8 MAKO 마이크로닉스,True,BLACK,True,https://img.danawa.com/prod_img/500000/571/247/img/30247571_1.jpg?shrink=130:130&_v=20231130090110
G.SKILL,DDR4,데스크탑용,3200,CL16,TRIDENT Z,True,,True,https://img.danawa.com/prod_img/500000/562/019/img/10019562_1.jpg?shrink=130:130&_v=20200821131934
마이크론,DDR5,데스크탑용,6000,CL48,CRUCIAL PRO 대원씨티에스,True,,False,https://img.danawa.com/prod_img/500000/007/480/img/28480007_1.jpg?shrink=130:130&_v=20230926124954
PATRIOT,DDR5,데스크탑용,7200,CL34,VIPER VENOM,True,,True,https://img.danawa.com/prod_img/500000/218/351/img/30351218_1.jpg?shrink=130:130&_v=20231207095723
ESSENCORE,DDR5,데스크탑용,6400,CL32,KLEVV CRAS V 서린,True,WHITE,True,https://img.danawa.com/prod_img/500000/125/989/img/37989125_1.jpg?shrink=130:130&_v=20240228111832
ESSENCORE,DDR5,데스크탑용,6400,CL32,KLEVV CRAS V 서린,True,,True,https://img.danawa.com/prod_img/500000/912/002/img/30002912_1.jpg?shrink=130:130&_v=20231116130319
GEIL,DDR5,데스크탑용,4800,CL40,PRISTINE V,False,,False,https://img.danawa.com/prod_img/500000/018/695/img/21695018_1.jpg?shrink=130:130&_v=20240220145430
TEAMGROUP,DDR4,데스크탑용,3600,CL18,T-FORCE DELTA 서린,True,,True,https://img.danawa.com/prod_img/500000/332/380/img/11380332_1.jpg?shrink=130:130&_v=20200821131607
GEIL,DDR4,데스크탑용,4000,CL18,ORION,True,RED,False,https://img.danawa.com/prod_img/500000/094/585/img/13585094_1.jpg?shrink=130:130&_v=20210408103958
SK하이닉스,DDR5,데스크탑용,4800,,,False,,False,https://img.danawa.com/prod_img/500000/634/507/img/16507634_1.jpg?shrink=130:130&_v=20230220163709
TEAMGROUP,DDR5,데스크탑용,6000,CL48,ELITE 서린,False,,False,https://img.danawa.com/prod_img/500000/177/424/img/31424177_1.jpg?shrink=130:130&_v=20231222093851
TEAMGROUP,DDR5,데스크탑용,5200,CL42,ELITE 서린,False,,False,https://img.danawa.com/prod_img/500000/360/767/img/18767360_1.jpg?shrink=130:130&_v=20230116144057
G.SKILL,DDR5,데스크탑용,6000,CL36,TRIDENT Z5,True,WHITE,True,https://img.danawa.com/prod_img/500000/443/639/img/21639443_1.jpg?shrink=130:130&_v=20231114151515
G.SKILL,DDR4,데스크탑용,4000,CL18,TRIDENT Z,True,,True,https://img.danawa.com/prod_img/500000/911/792/img/15792911_1.jpg?shrink=130:130&_v=20211126151855
ESSENCORE,DDR5,데스크탑용,6000,CL32,KLEVV CRAS XR5 서린,True,,True,https://img.danawa.com/prod_img/500000/203/888/img/27888203_1.jpg?shrink=130:130&_v=20231130084517
TEAMGROUP,DDR5,데스크탑용,6000,CL34,T-CREATE EXPERT 서린,True,,False,https://img.danawa.com/prod_img/500000/788/566/img/19566788_1.jpg?shrink=130:130&_v=20230330160057
삼성전자,DDR4,데스크탑용,2666,,,False,,False,https://img.danawa.com/prod_img/500000/972/158/img/8158972_1.jpg?shrink=130:130&_v=20220228092211
마이크론,DDR5,데스크탑용,5600,CL46,CRUCIAL 대원씨티에스,False,,False,https://img.danawa.com/prod_img/500000/126/369/img/20369126_1.jpg?shrink=130:130&_v=20230531161105
TEAMGROUP,DDR5,데스크탑용,6000,CL30,T-FORCE DELTA,True,WHITE,True,https://img.danawa.com/prod_img/500000/029/135/img/18135029_1.jpg?shrink=130:130&_v=20221027164506
TEAMGROUP,DDR5,데스크탑용,5600,CL46,ELITE PLUS 서린,False,SILVER,False,https://img.danawa.com/prod_img/500000/711/545/img/27545711_1.jpg?shrink=130:130&_v=20230811084340
TEAMGROUP,DDR5,데스크탑용,6000,CL34,T-CREATE EXPERT 서린,True,WHITE,False,https://img.danawa.com/prod_img/500000/735/546/img/20546735_1.jpg?shrink=130:130&_v=20230614173303
